job_id,Company,Role,url,YOE,Diploma,Job_type,Provide_Sponsorship,skill_sets,degree_rank
0,The Walt Disney Company,Data Product Intern,https://disney.wd5.myworkdayjobs.com/disneycareer/job/Bay-Lake-FL-USA/Data-Product-Intern--Summer-2026_10135707-2?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Big Data & Processing', 'Business/Analysis', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Data Analysis/Viz', 'DevOps & CI/CD', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Python', 'SQL/Databases', 'Semiconductors & IC', 'Statistical Modeling', 'Version Control/CLI']",0
1,Teamworks,Product Management Intern,https://ats.rippling.com/teamworks-careers/jobs/33646480-af53-432b-b481-e806831e2b69?utm_source=Simplify&ref=Simplify,3.0,Master,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Big Data & Processing', 'C#/.NET', 'C/C++', 'Communication & Soft Skills', 'DevOps & CI/CD', 'Financial Instruments', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Semiconductors & IC', 'Specialized AI Fields', 'User/Customer Focus']",2
2,Zscaler,Product Management Intern - AI,https://job-boards.greenhouse.io/zscaler/jobs/4996494007?utm_source=Simplify&ref=Simplify,0.0,High School,Intern,True,"['API/Architecture', 'Business/Analysis', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Core Engineering Concepts', 'Data Analysis/Viz', 'Financial Instruments', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'Infrastructure as Code (IaC)', 'Java/JVM', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Python', 'Semiconductors & IC', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'User/Customer Focus', 'Version Control/CLI']",0
3,🔥ServiceNow,Portfolio Associate Intern,https://jobs.smartrecruiters.com/ServiceNow/744000096698843?utm_source=Simplify&ref=Simplify,0.0,High School,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Business/Analysis', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Containerization/Orchestration', 'Financial Instruments', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'Infrastructure as Code (IaC)', 'Java/JVM', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Semiconductors & IC', 'Specialized AI Fields', 'User/Customer Focus', 'Version Control/CLI']",0
4,Santander,Digital Product Management Intern,https://santander.wd3.myworkdayjobs.com/SantanderCareers/job/Boston/Digital-Product-Management-Intern_Req1513554?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Business/Analysis', 'Communication & Soft Skills', 'HTML/CSS', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Risk/Compliance', 'User/Customer Focus', 'Version Control/CLI']",0
5,AstraZeneca,Innovation and AI Strategy Graduate Intern,https://astrazeneca.wd3.myworkdayjobs.com/en-US/Careers/job/US---Boston---MA/Innovation-and-AI-Strategy-Graduate-Intern_R-240703-1?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Communication & Soft Skills', 'HTML/CSS', 'JavaScript/TypeScript', 'ML/DL Concepts']",0
6,Apex Fintech Solutions,Product Management Intern - Software Engineering,https://peak6group.wd1.myworkdayjobs.com/apexfintechsolutions/job/Austin-TX/Product-Management-Intern--Software-Engineering-_JR103955?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Business/Analysis', 'C/C++', 'Communication & Soft Skills', 'Containerization/Orchestration', 'FinTech Domain', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Python', 'User/Customer Focus', 'Version Control/CLI']",0
7,Lumafield,Product Intern - Hardware,https://jobs.lever.co/lumafield/df6e57dd-d39c-4fd2-9cf0-145a860e5f52/apply?utm_source=Simplify&ref=Simplify,0.0,,Intern,False,"['API/Architecture', 'Automated Testing & QA', 'Business/Analysis', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Financial Instruments', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Specialized AI Fields', 'Version Control/CLI']",0
8,NBCUniversal,Media Tech – Enterprise Product Internships - Summer 2026,https://jobs.smartrecruiters.com/NBCUniversal3/744000092796287?utm_source=Simplify&ref=Simplify,0.0,,Intern,False,"['API/Architecture', 'Automated Testing & QA', 'Big Data & Processing', 'Business/Analysis', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Containerization/Orchestration', 'Core Engineering Concepts', 'Data Analysis/Viz', 'DevOps & CI/CD', 'Financial Instruments', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'Infrastructure as Code (IaC)', 'Java/JVM', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Semiconductors & IC', 'Specialized AI Fields', 'Version Control/CLI']",0
9,T-Mobile,Product Manager Intern,https://tmobile.wd1.myworkdayjobs.com/External/job/Bellevue-Washington/Summer-2026-Product-Manager-Intern_REQ339260?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Business/Analysis', 'Data Analysis/Viz', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Software Engineering (Frontend & Full Stack)', 'User/Customer Focus']",0
10,American Express,Campus – Internship Programme,https://aexp.eightfold.ai/careers/job/38987486?utm_source=Simplify&ref=Simplify,0.0,Master,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Business/Analysis', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Containerization/Orchestration', 'Data Analysis/Viz', 'FinTech Domain', 'Financial Instruments', 'HTML/CSS', 'Hardware & Systems Engineering', 'Java/JVM', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'User/Customer Focus', 'Version Control/CLI']",2
11,MongoDB,2026 – Internal AI Product Management Intern - NYC,https://www.mongodb.com/careers/job/?gh_jid=7336095&utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Big Data & Processing', 'Business/Analysis', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Content Management', 'Data Analysis/Viz', 'FinTech Domain', 'HTML/CSS', 'Hardware & Systems Engineering', 'Java/JVM', 'JavaScript/TypeScript', 'ML/DL Concepts', 'NoSQL/NewSQL', 'Product Strategy/Roadmap', 'SRE/Observability', 'Semiconductors & IC', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'User/Customer Focus']",0
12,Robert Bosch Venture Capital,Product Marketing Intern,https://jobs.smartrecruiters.com/BoschGroup/744000095943320?utm_source=Simplify&ref=Simplify,0.0,High School,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Business/Analysis', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Containerization/Orchestration', 'Financial Instruments', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'Infrastructure as Code (IaC)', 'Java/JVM', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'Specialized AI Fields']",0
13,GitHub,Product Manager Intern,https://githubinc.jibeapply.com/jobs/4771?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'Big Data & Processing', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Content Management', 'DevOps & CI/CD', 'Financial Instruments', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Project Management & Agile', 'SRE/Observability', 'Semiconductors & IC', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'Statistical Modeling', 'User/Customer Focus', 'Version Control/CLI']",0
14,USAFacts,AI Product Intern,https://job-boards.greenhouse.io/usafacts/jobs/4029883009?utm_source=Simplify&ref=Simplify,0.0,Master,Intern,True,"['API/Architecture', 'Automated Testing & QA', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Data Analysis/Viz', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Metrics & Analysis (PM)', 'Product Strategy/Roadmap', 'Python', 'Semiconductors & IC', 'Software Engineering (Frontend & Full Stack)', 'Specialized AI Fields', 'User/Customer Focus', 'Version Control/CLI']",2
15,Truist Bank,AFCO Direct – Product Team Intern - Digital Strategy,https://truist.wd1.myworkdayjobs.com/en-US/Careers/job/Lake-Forest-IL---Telecommuter/XMLNAME-2026-AFCO-Direct---Digital-Strategy---Summer-Product-Team-Internship_R0108533?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Communication & Soft Skills', 'Go/Rust', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Project Management & Agile', 'Version Control/CLI']",0
16,Blue Shield of California,2026 Summer Platforms Internship,https://ecge.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1003/job/20252286?utm_source=Simplify&ref=Simplify,0.0,Bachelor,Intern,True,"['API/Architecture', 'Business/Analysis', 'C#/.NET', 'C/C++', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap']",1
17,Invesco,Summer 2026 ETF Product Development Internship - Early Careers,https://invesco.wd1.myworkdayjobs.com/en-US/IVZ/job/Downers-Grove-Illinois/Summer-2026-ETF-Product-Development-Internship---Early-Careers_R-12460-2?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['Business/Analysis', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Data Analysis/Viz', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Product Strategy/Roadmap', 'User/Customer Focus']",0
18,↳,Digital Asset Product Intern,https://invesco.wd1.myworkdayjobs.com/en-US/IVZ/job/New-York-New-York/Summer-2026-Digital-Asset-Product-Internship---Early-Careers_R-12462-1?utm_source=Simplify&ref=Simplify,0.0,,Intern,True,"['API/Architecture', 'Business/Analysis', 'Cloud Platforms (AWS/Azure/GCP)', 'Communication & Soft Skills', 'Data Analysis/Viz', 'HTML/CSS', 'Hardware & Systems Engineering', 'JavaScript/TypeScript', 'ML/DL Concepts', 'Semiconductors & IC', 'User/Customer Focus', 'Version Control/CLI']",0
